                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0253,                 1.4866,                 1.3763,                0.78545,                0.75514,                0.86334,                0.68237,                0.80879,                 1.1514,                 1.2189,             0.00055274,             0.00055274,             0.00055274
                      2,                0.96211,                 0.9879,                 1.2833,                0.89201,                0.88969,                0.97229,                0.78934,                0.74387,                0.73112,                  1.154,              0.0010535,              0.0010535,              0.0010535
                      3,                0.94075,                 0.9162,                 1.2622,                0.89902,                0.89916,                 0.9589,                0.75004,                0.82394,                0.75005,                 1.2108,              0.0014993,              0.0014993,              0.0014993
                      4,                0.90376,                0.87333,                 1.2365,                0.95281,                0.95116,                 0.9902,                0.82492,                  0.651,                0.52732,                 1.0447,              0.0014195,              0.0014195,              0.0014195
                      5,                0.83164,                 0.7863,                 1.1841,                0.96148,                0.95603,                0.98449,                0.82223,                0.65529,                0.45206,                 1.0122,              0.0014195,              0.0014195,              0.0014195
                      6,                0.77336,                0.71169,                 1.1602,                0.97665,                0.96705,                0.99165,                0.84623,                0.61538,                0.40285,                 1.0005,              0.0013369,              0.0013369,              0.0013369
                      7,                0.73814,                0.67513,                 1.1354,                0.97201,                0.98121,                0.99361,                0.85179,                0.59716,                0.37214,                0.99108,              0.0012544,              0.0012544,              0.0012544
                      8,                0.70035,                0.62331,                 1.1076,                0.98932,                0.98229,                0.99378,                0.86726,                0.53797,                0.33272,                0.90493,              0.0011719,              0.0011719,              0.0011719
                      9,                0.66888,                0.61659,                 1.0923,                0.99022,                0.99628,                0.99491,                0.89183,                0.48197,                0.30367,                0.88124,              0.0010894,              0.0010894,              0.0010894
                     10,                0.65121,                 0.5641,                 1.0801,                 0.9833,                0.98595,                0.99412,                 0.9027,                 0.4733,                0.30261,                0.85922,              0.0010069,              0.0010069,              0.0010069
                     11,                0.53507,                0.36886,                  1.066,                0.99609,                0.99783,                0.99495,                0.90909,                0.47317,                0.29768,                 0.8647,             0.00092435,             0.00092435,             0.00092435
                     12,                0.49838,                 0.3367,                 1.0322,                0.98554,                0.99247,                0.99435,                0.91838,                0.44285,                0.28417,                   0.85,             0.00084184,             0.00084184,             0.00084184
                     13,                0.47235,                0.32052,                 1.0129,                0.99253,                0.99722,                0.99467,                0.92586,                0.43149,                0.24681,                0.84434,             0.00075932,             0.00075932,             0.00075932
                     14,                0.44592,                 0.2822,                0.99279,                  0.995,                0.99956,                0.99478,                0.92902,                0.39726,                0.24287,                0.80711,              0.0006768,              0.0006768,              0.0006768
                     15,                0.42627,                0.27656,                0.97665,                0.99197,                0.99755,                  0.995,                0.93261,                0.39342,                0.23521,                0.80384,             0.00059429,             0.00059429,             0.00059429
                     16,                0.40432,                0.25862,                0.96495,                0.98927,                      1,                 0.9948,                0.93891,                0.38089,                0.22702,                0.79091,             0.00051177,             0.00051177,             0.00051177
                     17,                0.37687,                0.24208,                0.94331,                0.99747,                0.99755,                  0.995,                0.94449,                0.37112,                0.20604,                0.78418,             0.00042925,             0.00042925,             0.00042925
                     18,                0.35709,                0.22076,                0.93538,                0.99711,                 0.9951,                  0.995,                0.94563,                0.36012,                0.19816,                0.78274,             0.00034674,             0.00034674,             0.00034674
                     19,                0.34203,                0.20848,                0.92382,                0.99649,                0.99974,                0.99489,                0.95216,                 0.3316,                0.18472,                0.75718,             0.00026422,             0.00026422,             0.00026422
                     20,                0.32173,                0.19737,                0.91499,                 0.9978,                0.99538,                  0.995,                0.95601,                0.32713,                0.18321,                0.75566,              0.0001817,              0.0001817,              0.0001817
